iter	Passed	Remaining
415	2770	3888
416	2772	3876
417	2774	3863
418	2781	3857
419	2784	3844
420	2786	3832
421	2806	3844
422	2808	3831
423	2812	3821
424	2815	3808
425	2817	3796
426	2824	3790
427	2826	3777
428	2837	3776
429	2839	3763
430	2841	3751
431	2844	3740
432	2846	3727
433	2896	3777
434	2901	3769
435	2904	3756
436	2905	3743
437	2908	3732
438	2910	3719
439	2960	3768
440	2963	3756
441	3109	3925
442	3125	3929
443	3138	3929
444	3148	3926
445	3151	3914
446	3153	3901
447	3158	3891
448	3164	3883
449	3167	3870
450	3169	3858
451	3172	3846
452	3178	3838
453	3180	3825
454	3182	3812
455	3219	3841
456	3221	3828
457	3223	3815
458	3225	3802
459	3228	3790
460	3230	3777
461	3232	3764
462	3234	3751
463	3240	3743
464	3243	3731
465	3245	3718
466	3247	3706
467	3249	3693
468	3255	3685
469	3342	3768
470	3344	3756
471	3347	3744
472	3353	3736
473	3355	3724
474	3358	3711
475	3360	3698
476	3362	3686
477	3369	3680
478	3372	3668
479	3375	3656
480	3377	3643
481	3457	3715
482	3459	3703
483	3465	3694
484	3467	3682
485	3469	3669
486	3473	3658
487	3482	3654
488	3485	3641
489	3487	3629
490	3489	3617
491	3492	3605
492	3507	3607
493	3513	3599
494	3516	3587
495	3518	3575
496	3525	3567
497	3528	3556
498	3530	3544
499	3532	3532
500	3534	3520
501	3558	3530
502	3560	3517
503	3562	3505
504	3564	3493
505	3566	3481
506	3572	3473
507	3605	3491
508	3608	3480
509	3610	3468
510	3612	3457
511	3615	3445
512	3624	3440
513	3628	3430
514	3630	3419
515	3658	3431
516	3661	3420
517	3669	3414
518	3671	3402
519	3679	3396
520	3687	3390
521	3690	3379
522	3692	3367
523	3695	3356
524	3698	3346
525	3700	3334
526	3702	3323
527	3705	3312
528	3708	3301
529	3710	3290
530	3712	3279
531	3769	3316
532	3776	3308
533	3809	3324
534	3811	3313
535	3815	3302
536	3834	3306
537	3864	3318
538	3868	3308
539	3874	3300
540	3876	3289
541	3879	3277
542	3881	3266
543	3883	3255
544	3889	3247
545	3891	3235
546	3907	3236
547	3910	3225
548	3913	3214
549	3919	3206
550	3922	3196
551	3924	3185
552	3928	3175
553	3935	3168
554	3937	3157
555	3939	3145
556	3941	3134
557	3944	3124
558	3988	3146
559	3991	3135
560	4019	3145
561	4021	3133
